#band,wavelength,rms_uJy,flux_uJy
DECaLS_z,0.926,1.2242664680184285,0.7544307186891277
VIRCAM_Ks,2.146,8.941342692644982,5.107882745714435
MIPS_MIPS24,23.68,4.847921563246253,2.1223038684331934
IRAC_IRAC3,5.8,1.951825400331282,2.71217002369262
IRAC_IRAC1,3.6,1.0105330526906313,1.5010523651224805
IRAC_IRAC4,8.0,9.536867546917613,-0.23058828514902163
VIRCAM_J,1.22,4.182006620710933,2.9159926864139836
DECaLS_r,0.642,0.2848615835264864,0.056602944133724874
DECaLS_i,0.784,1.388801833299371,2.911481724217578
IRAC_IRAC2,4.5,1.5579983511174111,2.66775205524183
DECaLS_g,0.473,0.22262850784483929,-0.06355082537681289

